ID,Job Plan Name,Schedule IDs,Schedules
15104731,SCD_EOD_PROCESSING,['15104838'],['SCD_WEEKDAY_1045pm']
15104732,SCD_RECON,['15104858'],['SCD_WEEKDAY_1130pm']
15104733,SCD_PERF_DAILY,['15104858'],['SCD_WEEKDAY_1130pm']
15104735,SCD_DWH_LOAD,['15104844'],['SCD_WEEKDAY_11pm']
15104736,SCD_SOD,['15104839'],['SCD_WEEKDAY_330am']
15104756,SA_CASH_MGMT,['15104839'],['SCD_WEEKDAY_330am']
15104757,SCD_DWH_RECON,['15104859'],['SCD_WEEKDAY_1145pm']
15104767,RE_CASH_MGMT,['15104836'],['RE_CASH_MGMT']
15104768,PAYMENT_RECONCILLIATION,['15104837'],['PAYMENT_RECONCILLIATION']
15104769,SCD_EXTRACTS_6pm,['15104841'],['SCD_EXTRACTS_6pm']
15104770,AS_24D_CA_CR_SDTR,['15104842'],['AS_24D_CA_CR_SDTR']
15104807,SCD_PERF_DWH_LOAD,['15104859'],['SCD_WEEKDAY_1145pm']
15104811,SOD_SET_DATE,['15104846'],['SCD_DAILY_1am']
15104813,SCD_RECON_NT_CASH_PMT,['15104840'],['SCD_WEEKDAY_1030pm']
15104827,Scheduled_BCI_Callout_Rotation,['15104856'],['Rotate_Callout']
15104829,SCD_EXTRACTS_POST_EOD,['15104844'],['SCD_WEEKDAY_11pm']
15104831,MANUAL_QUOTES,['15104860'],['SCD_WEEKDAY_10pm']
15317423,RE_DWH_CLEAN,['15317452'],['SCD_WEEKDAY_7pm']
15828575,SCD_FLS_DEX_EXTRACT,['15104844'],['SCD_WEEKDAY_11pm']
15831290,FIN_REPO_RECON_DEXS,['15104844'],['SCD_WEEKDAY_11pm']
15866816,PRF_REP_DAILY,['15104859'],['SCD_WEEKDAY_1145pm']
15866847,PRF_REP_MONTHLY,['15727947'],['SCD_EOM_1140pm']
16343833,SECURITY_DEAL_ID,['15727923'],['SCD_EOM_6pm']
26622008,DM_REF_SEC_ALL,"['15104854', '26622009']","['SCD_WEEKDAY_3pm', 'SCD_WEEKDAY_5pm']"
26622066,DM_EXT_EDM_SMF,"['15104854', '26622009', '26622010']","['SCD_WEEKDAY_3pm', 'SCD_WEEKDAY_5pm', 'SCD_WEEKDAY_230pm']"
28027017,DM_FX_RATE_COPY,['28027215'],['SCD_EOM_5pm']
29349446,SCD_PERF_REP_DAILY_1,['15104844'],['SCD_WEEKDAY_11pm']
29349609,SCD_PERF_REP_DAILY_2,['15104844'],['SCD_WEEKDAY_11pm']
30023173,DM_EXT_HLD_STD_CTRT,['30143019'],['SCD_WEEKDAY_10am']
30023176,DM_HLD_EST_YLD_CURV,['15104860'],['SCD_WEEKDAY_10pm']
32123403,SCD_PERF_DAILY_2,['15104844'],['SCD_WEEKDAY_11pm']
32123404,SCD_PERF_DAILY_3,['15104844'],['SCD_WEEKDAY_11pm']
15104881,SWIFT_FILES_GET_AND_FTP_SCD,['15104847'],['BroadRidge_SWIFT']
15104883,SWIFT_MOVE_TO_COMM_SERVER,['15104848'],['SWIFT_Schedule']
15104887,AUDIT_REPORTS,['15104850'],['SCD_WEEKDAY_6am']
15104890,AR_MTHLY,"['15104852', '15104850']","['SCD_EOM_10pm', 'SCD_WEEKDAY_6am']"
15104893,AR_ADHOC,['15104851'],['SCD_SATURDAY_6pm']
15104896,IO_SWAP_ID_MAPPING,"['15104850', '15104853']","['SCD_WEEKDAY_6am', 'SCD_WEEKDAY_4pm']"
15104899,REF_SMF_LFCONTRACTS,"['15104854', '15104850']","['SCD_WEEKDAY_3pm', 'SCD_WEEKDAY_6am']"
15104902,AR_SYS_CHG,['15104855'],['SCD_DAILY_7am']
15104911,FX_HEDGE_EXTRACT,['15104850'],['SCD_WEEKDAY_6am']
15447790,CHECK_SCD_EOD_PROCESSING,['15500623'],['Check_SCD_SOD']
15622461,CHECK_FILE_AGE,['25333504'],['Check_FILE_AGE']
16096725,CREATE_ARCHIVE_FOLDER,['16096763'],['SCD_WEEKDAY_1am']
16529649,FLS_POS_HOLDINGS,['16529646'],['SCD_WEEKDAY_EVERY_15m']
17428640,DM_FX_RATE_UPDT,['17428639'],['SCD_WEEKDAY_9am']
18255379,LDOM_SCD_EXTRACTS_POST_EOD,['15727940'],['SCD_EOM_615pm']
23940962,SUSPEND_SERVICE_PLATFORM,['23940958'],['Service_Platform_Suspend']
23940963,ENABLE_SERVICE_PLATFORM,['23940957'],['Service_Platform_Enable']
26186114,IO_AI_UNFUND_COMMIT,"['15104853', '26622068']","['SCD_WEEKDAY_4pm', 'SCD_WEEKDAY_7am']"
29829502,REF_SMF_LFCONTRACTS,"['15104854', '15104850']","['SCD_WEEKDAY_3pm', 'SCD_WEEKDAY_6am']"
31801101,SCD_PERF_WEEKLY_1,['32125826'],['SCD_SUNDAY_6pm']
